millis	acc_0	acc_1	acc_2	gyr_0	gyr_1	gyr_2	mag_0	mag_1	mag_2	Longitude	Latitude	velN	velE	Throttle	Steering
14942	5	-22	-313	6	1	131	1907	645	-12445	nan	nan	nan	nan	127	195
14979	5	-22	-315	7	0	131	1976	724	-12343	nan	nan	nan	nan	111	173
15016	5	-22	-314	6	2	131	1873	668	-12381	nan	nan	nan	nan	112	171
15053	5	-22	-314	6	1	131	1919	690	-12394	nan	nan	nan	nan	112	177
15093	5	-23	-312	6	0	131	1884	601	-12394	nan	nan	nan	nan	116	182
15130	5	-21	-312	7	1	131	1850	668	-12394	nan	nan	nan	nan	126	198
15167	4	-22	-314	7	1	131	1907	623	-12457	nan	nan	nan	nan	130	203
15204	5	-22	-315	6	1	131	1953	701	-12394	nan	nan	nan	nan	128	199
15241	5	-22	-314	5	1	131	1942	668	-12470	nan	nan	nan	nan	117	182
15278	5	-22	-315	6	1	131	1907	679	-12394	nan	nan	nan	nan	105	165
15315	6	-22	-314	7	1	131	1942	645	-12318	nan	nan	nan	nan	107	168
15353	4	-22	-314	6	1	131	1873	612	-12483	nan	nan	nan	nan	128	193
15393	5	-23	-315	6	1	131	1942	668	-12343	nan	nan	nan	nan	114	183
15430	5	-22	-312	6	0	131	1895	623	-12406	nan	nan	nan	nan	124	196
15468	6	-21	-313	6	0	131	1964	668	-12318	nan	nan	nan	nan	127	200
15506	4	-22	-313	6	1	131	1907	645	-12394	nan	nan	nan	nan	128	200
15544	5	-23	-315	7	1	131	1964	657	-12431	nan	nan	nan	nan	126	194
15582	5	-22	-315	7	1	131	1930	612	-12431	nan	nan	nan	nan	115	182
15620	5	-21	-314	6	1	131	1999	623	-12419	nan	nan	nan	nan	102	165
15658	6	-22	-314	7	0	132	1953	634	-12406	nan	nan	nan	nan	106	166
15698	5	-23	-313	6	1	130	1930	634	-12343	nan	nan	nan	nan	107	174
15736	4	-22	-313	7	1	131	1873	623	-12356	nan	nan	nan	nan	112	176
15774	6	-22	-313	5	0	131	1884	679	-12406	nan	nan	nan	nan	115	183
15812	6	-21	-315	6	2	131	1942	623	-12368	nan	nan	nan	nan	118	190
15850	6	-22	-314	6	1	131	1838	645	-12304	nan	nan	nan	nan	130	202
15888	5	-22	-314	7	1	131	1884	668	-12368	nan	nan	nan	nan	130	203
15926	5	-22	-314	7	1	131	1884	634	-12368	nan	nan	nan	nan	129	200
15966	6	-22	-312	7	0	131	1930	668	-12356	nan	nan	nan	nan	124	199
16004	5	-23	-313	6	1	130	1895	668	-12381	nan	nan	nan	nan	123	192
16042	5	-22	-314	6	1	131	1895	657	-12381	nan	nan	nan	nan	122	186
16080	4	-22	-314	5	1	131	1895	668	-12318	nan	nan	nan	nan	110	172
16120	5	-22	-314	6	1	131	1964	701	-12356	nan	nan	nan	nan	115	183
16158	5	-23	-314	7	1	131	1907	612	-12470	nan	nan	nan	nan	112	173
16196	5	-22	-314	6	1	131	1907	690	-12419	nan	nan	nan	nan	106	171
